Name,Type,MotherName,FatherName,Sex,,Redze,?trums,Izsalkuma l?menis,Sl?pju l?menis,,Izsalkuma slieksnis,Sl?pju slieksnis
a31,Herbivore,,,Male,,66.95,25.65,1.24,1.6,,0.4,0.09999999
a32,Herbivore,,,Male,,88.37,19.05,1.47,1.68,,0.33,0.63
a33,Herbivore,,,Female,,14.37,23.76,2.78,2.65,,0.4,0.64
a34,Herbivore,,,Female,,49.05,44.15,1.44,2.31,,0.19,0.57
a35,Herbivore,,,Female,,59.94,34.42,1.27,1.36,,0.29,0.5
a36,Herbivore,,,Male,,80.43999,49.32,2.68,2.9,,0.14,0.18
a37,Herbivore,,,Male,,48.39,38.57,2.06,2.34,,0.47,0.17
a38,Herbivore,,,Male,,49.87,6.68,1.56,1.11,,0.41,0.29
a39,Herbivore,,,Female,,99.65,49.69,2.47,2.35,,0.64,0.59
a4,Herbivore,,,Male,,84.32,17.1,1.26,2.04,,0.4,0.17
a40,Herbivore,,,Male,,85.74,25.03,1.14,1.84,,0.46,0.14
a41,Herbivore,,,Female,,34.25,12.88,1.4,1.21,,0.57,0.43
a42,Herbivore,,,Female,,94.84,47.11,2.34,2.56,,0.22,0.65
a43,Herbivore,,,Male,,16.69,24.15,1.18,2.17,,0.38,0.12
a44,Herbivore,,,Male,,64.64,26.1,1.23,2.23,,0.55,0.59
a45,Herbivore,,,Female,,77.5,24.85,1.7,2.86,,0.37,0.42
a46,Herbivore,,,Female,,64.48,37.47,2.15,2.08,,0.22,0.26
a47,Herbivore,,,Male,,98.32999,39.28,1.42,1.61,,0.3,0.37
a48,Herbivore,,,Male,,46.25,36.29,2.81,2.78,,0.09999999,0.23
a49,Herbivore,,,Female,,11.29,11.24,2.64,1.64,,0.36,0.3
a5,Herbivore,,,Female,,16.71,7.4,2.23,1.73,,0.29,0.45
a6,Herbivore,,,Male,,69.68,11.75,1.85,1.13,,0.37,0.4
a7,Herbivore,,,Male,,86.34,7.44,1.28,2.01,,0.45,0.29
a8,Herbivore,,,Female,,91.27,45.39,1.64,2.46,,0.34,0.23
a9,Herbivore,,,Female,,73.67,11.28,2.31,1.88,,0.61,0.15
b1,Herbivore,a13,a37,Female,,69.98,49.44,2.15,1.48,,0.47,0.17
b1,Herbivore,a18,a31,Female,,21.15,19.09,1.38,2.54,,0.56,0.25
b1,Herbivore,a12,a43,Male,,16.69,24.15,1.18,2.17,,0.19,0.12
b1,Herbivore,a19,a14,Female,,57.94,21.32,1.09,1.12,,0.11,0.52
b1,Herbivore,a10,a21,Male,,79.79,39.34,1.75,1.58,,0.44,0.18
b1,Herbivore,a19,a36,Female,,57.94,21.32,1.09,2.9,,0.14,0.18
b1,Herbivore,a12,a37,Male,,16.69,30.53,2.06,2.34,,0.47,0.17
b1,Herbivore,a13,a2,Female,,69.98,49.44,2.15,1.48,,0.47,0.17
b1,Herbivore,a10,c3,Male,,79.79,30.49,1.68,1.72,,0.16,0.45
b1,Herbivore,a19,b1,Female,,57.94,21.32,1.03,2.9,,0.14,0.29
b1,Herbivore,a12,c3,Male,,16.69,30.53,2.06,2.34,,0.47,0.45
b1,Herbivore,a13,c8,Male,,64.64,26.1,1.08,2.23,,0.55,0.59
b1,Herbivore,a12,e1,Male,,49.84,40.72,2.68,2.9,,0.14,0.18
b1,Herbivore,a13,b4,Male,,80.43999,49.32,2.68,2.9,,0.16,0.18
b1,Herbivore,a12,b1,Male,,49.84,40.72,2.68,2.9,,0.14,0.51
b1,Herbivore,a13,a29,Male,,73.8,34.57,1.34,2.23,,0.46,0.14
b1,Herbivore,a12,a47,Male,,49.84,40.72,1.42,1.61,,0.3,0.37
b1,Herbivore,a13,b1,Female,,73.8,34.57,1.34,2.23,,0.46,0.37
b1,Herbivore,a12,c8,Male,,49.84,44.49,2.96,2.85,,0.44,0.25
b1,Herbivore,a13,d3,Male,,92.18999,33.68,1.14,1.84,,0.53,0.18
b1,Herbivore,a12,c1,Male,,49.84,44.49,2.96,2.85,,0.44,0.29
b1,Herbivore,a13,f2,Male,,92.18999,38.87,1.47,1.68,,0.33,0.63
b1,Herbivore,a12,c8,Male,,49.84,44.49,2.96,2.85,,0.4,0.53
b1,Herbivore,a13,c8,Male,,53.37,7.32,2.34,1.8,,0.46,0.53
b2,Herbivore,a20,a29,Female,,84.41,20.32,1.86,1.8,,0.37,0.65
b2,Herbivore,a23,a1,Female,,32.6,35.81,2.03,2.22,,0.61,0.58
b2,Herbivore,a26,a36,Female,,48.52,34.57,2.66,1.65,,0.68,0.44
b2,Herbivore,a22,a14,Female,,48.17,11,1.48,1.19,,0.5,0.24
b2,Herbivore,a25,a7,Female,,28.84,9.45,2.22,1.94,,0.15,0.32
b2,Herbivore,a23,a47,Female,,32.6,35.81,2.03,2.22,,0.3,0.37
b2,Herbivore,a26,a3,Female,,65.86,34.57,1.68,1.72,,0.16,0.45
b2,Herbivore,a26,b1,Female,,65.86,34.57,1.68,1.72,,0.16,0.45
b2,Herbivore,a26,b1,Female,,49.98,34.57,2.68,2.9,,0.44,0.18
b2,Herbivore,a26,g4,Male,,92.18999,32.36,1.59,1.9,,0.46,0.14
b2,Herbivore,a26,c1,Female,,92.18999,26.1,1.08,2.85,,0.15,0.14
b2,Herbivore,a26,c1,Female,,92.18999,38.87,1.47,1.68,,0.33,0.49
b3,Herbivore,a34,a32,Female,,49.05,44.15,1.44,1.68,,0.33,0.63
b3,Herbivore,a39,a17,Female,,99.65,31.42,1.8,1.54,,0.11,0.43
b3,Herbivore,a35,a44,Female,,59.94,34.42,1.27,1.36,,0.55,0.59
b3,Herbivore,a39,a6,Female,,99.65,49.57,2.22,1.54,,0.11,0.43
b3,Herbivore,a35,a36,Male,,11.47,49.32,2.3,2.9,,0.14,0.21
b3,Herbivore,a34,a3,Male,,73.95,30.49,1.68,1.72,,0.16,0.45
b3,Herbivore,a39,a44,Female,,99.65,49.57,2.22,1.54,,0.55,0.59
b3,Herbivore,a39,e1,Male,,73.13,26.1,2.68,2.9,,0.14,0.18
b3,Herbivore,a34,a29,Male,,73.95,30.49,1.59,1.9,,0.37,0.65
b3,Herbivore,a39,e1,Male,,73.8,34.57,2.17,2.23,,0.44,0.18
b3,Herbivore,a39,c2,Male,,73.8,34.57,1.14,1.84,,0.46,0.14
b3,Herbivore,a39,e2,Male,,73.8,33.68,1.14,1.84,,0.46,0.52
b3,Herbivore,a39,e4,Male,,73.8,33.68,1.14,1.84,,0.46,0.53
b3,Herbivore,a39,c8,Female,,73.8,32.36,2.78,1.9,,0.46,0.14
b3,Herbivore,a39,b3,Female,,73.8,32.36,2.78,1.84,,0.57,0.39
b4,Herbivore,a42,a48,Female,,94.84,36.29,2.81,2.78,,0.09999999,0.23
b4,Herbivore,a49,a4,Female,,11.29,11.24,1.26,2.04,,0.4,0.17
b4,Herbivore,a46,a7,Female,,64.48,37.47,2.15,1.43,,0.22,0.26
b4,Herbivore,a45,a17,Female,,42.76,31.42,1.01,1.54,,0.11,0.43
b4,Herbivore,a42,a6,Male,,69.68,33.68,1.85,1.13,,0.25,0.4
b4,Herbivore,a42,a36,Male,,80.43999,49.32,2.68,2.9,,0.14,0.18
b4,Herbivore,a42,b3,Male,,80.43999,49.32,2.68,2.9,,0.16,0.18
b8,Herbivore,a8,a37,Female,,91.27,45.39,2.06,2.34,,0.47,0.17
b8,Herbivore,a8,a15,Male,,15.65,45.39,2.06,2.34,,0.47,0.22
b8,Herbivore,a8,a44,Male,,52.98,26.1,1.23,2.23,,0.47,0.17
b8,Herbivore,a8,e1,Male,,49.84,26.1,1.08,2.23,,0.47,0.17
b8,Herbivore,a8,b4,Male,,49.84,26.1,1.08,2.23,,0.47,0.18
b8,Herbivore,a8,b8,Male,,49.84,26.1,1.08,2.85,,0.44,0.25
b9,Herbivore,a9,a24,Female,,73.67,39.28,1.23,1.68,,0.59,0.18
c1,Herbivore,b1,a30,Female,,69.98,49.44,2.15,1.48,,0.47,0.17
c1,Herbivore,b1,a38,Female,,57.94,21.32,1.96,2.9,,0.14,0.29
c1,Herbivore,b1,a32,Male,,88.37,19.05,1.47,1.68,,0.33,0.63
c1,Herbivore,b1,a1,Male,,88.37,19.05,1.47,1.68,,0.56,0.58
c1,Herbivore,b1,c8,Male,,49.84,26.1,1.08,2.23,,0.47,0.17
c1,Herbivore,b1,b4,Female,,49.84,26.1,2.68,2.9,,0.14,0.18
c1,Herbivore,b1,c1,Male,,98.71,21.32,1.03,2.9,,0.14,0.14
c1,Herbivore,b1,c8,Male,,80.43999,49.32,1.08,2.23,,0.44,0.18
c1,Herbivore,b1,c1,Male,,73.8,34.57,1.08,2.23,,0.44,0.18
c1,Herbivore,b1,f2,Female,,73.8,34.57,1.34,2.23,,0.46,0.14
c1,Herbivore,b1,c3,Female,,73.8,34.57,1.34,1.9,,0.46,0.14
c1,Herbivore,b1,a32,Female,,92.18999,26.1,1.08,2.85,,0.15,0.14
c1,Herbivore,b1,e2,Female,,73.8,43.47,1.44,1.9,,0.46,0.14
c1,Herbivore,b1,e4,Female,,53.37,7.32,1.3,1.84,,0.57,0.53
c2,Herbivore,b2,b1,Female,,32.6,35.81,2.03,2.22,,0.61,0.12
c2,Herbivore,b2,a40,Female,,84.41,25.03,1.14,1.84,,0.46,0.14
c2,Herbivore,b2,c3,Female,,32.6,21.48,2.03,1.72,,0.16,0.45
c2,Herbivore,b2,d4,Female,,75.25,49.32,2.68,2.9,,0.14,0.18
c2,Herbivore,b2,a21,Female,,99.43,21.48,1.54,1.68,,0.33,0.63
c2,Herbivore,b2,b4,Male,,84.41,25.03,1.14,1.84,,0.46,0.14
c2,Herbivore,b2,b1,Female,,65.86,34.57,2.68,2.9,,0.14,0.18
c3,Herbivore,b3,a29,Male,,73.95,30.49,2.12,1.9,,0.37,0.65
c3,Herbivore,b3,a1,Female,,59.94,34.42,1.27,2.22,,0.41,0.58
c3,Herbivore,b3,a1,Male,,73.95,30.49,1.68,1.72,,0.16,0.45
c3,Herbivore,b3,a1,Male,,11.47,49.32,1.63,2.9,,0.58,0.58
c3,Herbivore,b3,a44,Male,,73.13,26.1,1.23,2.23,,0.55,0.59
c3,Herbivore,b3,c8,Male,,73.13,26.1,1.23,2.23,,0.47,0.17
c3,Herbivore,b3,b1,Male,,11.47,49.32,1.63,2.45,,0.16,0.45
c3,Herbivore,b3,c1,Male,,73.95,30.49,1.68,1.72,,0.16,0.18
c3,Herbivore,b3,d4,Male,,73.13,26.1,2.68,2.9,,0.14,0.18
c3,Herbivore,b3,b1,Male,,11.47,49.32,1.63,2.45,,0.16,0.18
c3,Herbivore,b3,c2,Male,,90.63,32.36,1.59,1.9,,0.46,0.14
c3,Herbivore,b3,c3,Male,,92.18999,32.36,1.59,1.9,,0.46,0.14
c3,Herbivore,b3,b4,Male,,73.8,34.57,2.35,1.47,,0.44,0.29
c3,Herbivore,b3,c3,Male,,90.63,32.36,1.59,1.9,,0.46,0.14
c3,Herbivore,b3,a32,Male,,92.18999,32.36,1.59,1.9,,0.46,0.14
c3,Herbivore,b3,d3,Male,,73.8,33.68,1.14,1.84,,0.46,0.53
c3,Herbivore,b3,d1,Male,,90.63,32.36,1.59,1.9,,0.46,0.14
c3,Herbivore,b3,e9,Female,,73.8,32.36,2.78,1.9,,0.46,0.14
c3,Herbivore,b3,c3,Male,,92.18999,33.68,1.24,1.84,,0.46,0.53
c3,Herbivore,b3,c3,Female,,73.8,32.36,2.78,1.84,,0.57,0.53
c3,Herbivore,b3,c2,Male,,92.18999,33.68,1.24,1.84,,0.46,0.14
c3,Herbivore,b3,b3,Female,,73.8,32.36,1.3,1.84,,0.57,0.53
c3,Herbivore,b3,b8,Female,,73.8,32.36,2.78,1.84,,0.57,0.53
c4,Herbivore,b4,a38,Female,,42.76,31.42,1.01,1.54,,0.11,0.29
c4,Herbivore,b4,a15,Female,,35.91,27.28,2.57,2.14,,0.37,0.22
c4,Herbivore,b4,a47,Female,,42.76,31.42,1.01,1.54,,0.16,0.45
c4,Herbivore,b4,b1,Female,,42.76,31.42,1.01,2.9,,0.14,0.18
c8,Herbivore,b8,a44,Male,,52.98,26.1,1.23,2.23,,0.55,0.59
c8,Herbivore,b8,a37,Male,,52.98,26.1,1.23,2.23,,0.47,0.17
c8,Herbivore,b8,c8,Male,,52.98,26.1,1.23,2.23,,0.47,0.38
c8,Herbivore,b8,a21,Male,,49.84,26.1,1.08,2.23,,0.44,0.18
c8,Herbivore,b8,b8,Male,,49.84,26.1,1.08,2.85,,0.44,0.52
c8,Herbivore,b8,b8,Male,,49.84,44.49,2.96,2.85,,0.44,0.25
c8,Herbivore,b8,c2,Male,,84.41,25.03,1.14,1.8,,0.46,0.14
c8,Herbivore,b8,c9,Male,,84.41,25.03,1.14,1.8,,0.46,0.53
c9,Herbivore,b9,a3,Male,,73.67,39.28,1.23,1.68,,0.59,0.45
c9,Herbivore,b9,b4,Female,,80.43999,49.32,2.68,2.96,,0.14,0.18
c9,Herbivore,b9,c2,Female,,80.43999,49.32,1.14,1.84,,0.46,0.14
c9,Herbivore,b9,c8,Male,,49.84,26.1,1.08,2.85,,0.44,0.52
c9,Herbivore,b9,a21,Female,,73.8,32.36,2.78,1.9,,0.46,0.14
c9,Herbivore,b9,e4,Female,,90.63,33.54,1.47,1.68,,0.33,0.63
c9,Herbivore,b9,c9,Female,,84.41,25.03,1.66,1.8,,0.46,0.53
d1,Herbivore,c1,a47,Female,,69.98,49.44,2.15,1.35,,0.3,0.12
d1,Herbivore,c1,c1,Female,,98.71,21.32,1.03,2.9,,0.14,0.29
d1,Herbivore,c1,c1,Male,,73.95,30.49,1.59,1.03,,0.43,0.65
d1,Herbivore,c1,f2,Female,,73.8,18.2,1.36,1.9,,0.46,0.14
d1,Herbivore,c1,g4,Female,,92.18999,26.1,1.08,2.85,,0.15,0.14
d1,Herbivore,c1,c3,Female,,73.8,43.47,1.44,1.9,,0.46,0.29
d1,Herbivore,c1,c3,Female,,73.8,31.88,1.3,1.84,,0.57,0.53
d1,Herbivore,c1,c3,Female,,73.8,31.88,1.3,1.84,,0.57,0.47
d1,Herbivore,c1,c9,Female,,53.37,7.32,1.3,1.84,,0.46,0.53
d2,Herbivore,c2,a3,Female,,32.6,35.81,2.03,2.22,,0.47,0.45
d2,Herbivore,c2,a29,Female,,32.6,21.48,2.03,2.22,,0.37,0.28
d2,Herbivore,c2,c8,Female,,75.25,49.32,2.68,2.9,,0.14,0.18
d2,Herbivore,c2,d4,Male,,80.43999,49.32,2.68,2.9,,0.16,0.3
d2,Herbivore,c2,b1,Female,,49.98,34.57,2.68,2.9,,0.44,0.18
d2,Herbivore,c2,c9,Male,,90.63,26.1,1.08,2.85,,0.44,0.52
d2,Herbivore,c2,e1,Male,,90.63,26.1,1.08,2.85,,0.15,0.14
d2,Herbivore,c2,e4,Male,,90.63,33.54,1.47,1.68,,0.33,0.63
d2,Herbivore,c2,c8,Male,,90.63,25.03,1.14,1.8,,0.46,0.31
d3,Herbivore,c3,c8,Male,,11.47,49.32,1.63,2.9,,0.58,0.59
d3,Herbivore,c3,c1,Male,,11.47,49.32,1.63,2.9,,0.55,0.59
d3,Herbivore,c3,c8,Male,,11.47,49.32,1.63,1.77,,0.44,0.18
d3,Herbivore,c3,c3,Male,,92.18999,32.36,1.59,1.9,,0.46,0.14
d3,Herbivore,c3,c3,Male,,92.18999,33.68,1.14,1.84,,0.46,0.53
d3,Herbivore,c3,d3,Male,,92.18999,33.68,1.24,1.84,,0.46,0.14
d4,Herbivore,c4,c3,Female,,42.76,31.42,1.01,1.54,,0.16,0.45
d4,Herbivore,c4,a44,Male,,69.68,33.68,1.85,1.13,,0.55,0.59
d4,Herbivore,c4,c1,Female,,42.76,19.28,1.01,2.9,,0.54,0.18
d4,Herbivore,c4,a47,Female,,42.76,19.28,1.01,2.9,,0.54,0.18
d4,Herbivore,c4,c2,Female,,42.76,41.86,1.01,2.9,,0.54,0.45
d4,Herbivore,c4,e2,Male,,73.8,26.1,1.08,2.85,,0.44,0.52
d9,Herbivore,c9,c2,Female,,80.43999,49.32,1.14,1.84,,0.46,0.14
d9,Herbivore,c9,c3,Female,,80.43999,49.32,1.14,1.84,,0.46,0.14
d9,Herbivore,c9,e2,Male,,49.84,44.49,2.96,2.85,,0.44,0.52
d9,Herbivore,c9,d3,Female,,73.8,32.36,2.78,1.9,,0.46,0.53
d9,Herbivore,c9,c8,Female,,72.84,33.54,1.47,1.68,,0.46,0.53
e1,Herbivore,d1,a44,Male,,64.64,26.1,1.23,2.23,,0.55,0.59
e1,Herbivore,d1,c3,Female,,73.95,30.49,1.59,1.03,,0.37,0.65
e1,Herbivore,d1,b1,Male,,98.71,21.32,2.03,2.9,,0.14,0.14
e1,Herbivore,d1,c3,Female,,92.18999,33.68,1.24,1.84,,0.46,0.14
e1,Herbivore,d1,e4,Female,,73.8,31.88,1.3,1.84,,0.57,0.53
e1,Herbivore,d1,c9,Male,,53.37,7.32,2.34,1.84,,0.46,0.53
e2,Herbivore,d2,a32,Female,,32.6,21.48,1.43,1.68,,0.33,0.63
e2,Herbivore,d2,b1,Male,,99.43,29.72,1.54,1.68,,0.33,0.63
e2,Herbivore,d2,c3,Female,,75.25,34.57,2.17,2.23,,0.44,0.18
e2,Herbivore,d2,d3,Male,,80.43999,49.32,2.95,2.9,,0.16,0.3
e2,Herbivore,d2,b1,Female,,73.8,34.57,1.34,2.23,,0.46,0.37
e2,Herbivore,d2,b3,Male,,73.8,33.68,1.14,1.84,,0.46,0.53
e4,Herbivore,d4,d4,Female,,42.76,31.42,1.01,1.54,,0.16,0.18
e4,Herbivore,d4,e1,Female,,73.8,34.57,1.08,2.23,,0.44,0.6
e4,Herbivore,d4,b1,Female,,73.8,12.62,2.61,2.23,,0.44,0.6
e4,Herbivore,d4,a21,Male,,73.8,34.57,1.08,2.23,,0.44,0.66
e4,Herbivore,d4,e1,Male,,73.8,34.57,1.08,2.23,,0.46,0.14
e4,Herbivore,d4,a47,Male,,92.18999,32.36,1.59,2.84,,0.3,0.37
e4,Herbivore,d4,c8,Male,,92.18999,32.36,1.59,2.84,,0.3,0.37
e4,Herbivore,d4,b1,Female,,90.63,33.54,1.08,2.85,,0.44,0.25
e4,Herbivore,d4,a32,Female,,90.63,33.54,1.47,1.68,,0.33,0.63
e4,Herbivore,d4,d3,Male,,73.8,25.03,1.91,1.84,,0.46,0.14
e9,Herbivore,d9,c8,Male,,98.93,26.1,1.08,2.85,,0.55,0.52
e9,Herbivore,d9,c8,Male,,49.84,44.49,2.96,2.85,,0.26,0.25
e9,Herbivore,d9,f1,Female,,73.8,34.57,1.34,1.9,,0.46,0.14
e9,Herbivore,d9,b1,Female,,73.8,34.57,1.34,1.9,,0.46,0.14
e9,Herbivore,d9,b1,Female,,92.18999,26.1,1.08,2.85,,0.15,0.14
e9,Herbivore,d9,e1,Female,,92.18999,43.47,1.44,1.78,,0.12,0.29
e9,Herbivore,d9,b1,Female,,90.63,33.54,1.47,1.68,,0.33,0.53
e9,Herbivore,d9,a47,Male,,98.32999,39.28,1.42,1.61,,0.3,0.37
e9,Herbivore,d9,a21,Male,,98.32999,39.28,1.42,1.58,,0.44,0.37
f1,Herbivore,e1,c9,Male,,73.8,34.57,1.34,2.23,,0.46,0.14
f1,Herbivore,e1,c3,Female,,73.8,18.2,1.59,1.9,,0.46,0.14
f1,Herbivore,e1,c3,Female,,73.8,43.47,2.7,1.9,,0.46,0.14
f1,Herbivore,e1,b8,Female,,53.37,7.32,1.3,1.84,,0.57,0.53
f1,Herbivore,e1,b1,Female,,53.37,7.32,1.3,1.84,,0.57,0.53
f2,Herbivore,e2,b4,Male,,34.29,29.72,1.54,1.68,,0.33,0.63
f2,Herbivore,e2,b3,Male,,90.63,38.72,1.59,1.51,,0.46,0.14
f2,Herbivore,e2,c9,Female,,92.18999,26.1,1.08,2.85,,0.15,0.14
f2,Herbivore,e2,c9,Female,,84.41,25.03,1.66,1.8,,0.69,0.53
f4,Herbivore,e4,d3,Female,,42.76,47.82,1.01,2.9,,0.54,0.45
f4,Herbivore,e4,f2,Male,,65.86,26.1,1.08,2.85,,0.44,0.52
f4,Herbivore,e4,f2,Female,,90.63,26.1,1.08,2.85,,0.15,0.14
f4,Herbivore,e4,c3,Female,,73.8,31.88,1.3,1.84,,0.57,0.53
f4,Herbivore,e4,c9,Male,,73.8,25.03,1.91,1.84,,0.46,0.53
f9,Herbivore,e9,c3,Female,,73.8,32.36,1.59,1.9,,0.46,0.14
f9,Herbivore,e9,a32,Female,,88.37,19.05,1.47,1.68,,0.33,0.63
f9,Herbivore,e9,c3,Female,,92.18999,43.47,1.24,1.84,,0.46,0.53
f9,Herbivore,e9,c8,Female,,72.84,33.54,1.47,1.68,,0.46,0.31
f9,Herbivore,e9,c3,Female,,72.84,33.54,1.47,1.68,,0.46,0.53
f9,Herbivore,e9,c8,Male,,98.32999,39.28,1.14,1.8,,0.46,0.53
g1,Herbivore,f1,e4,Male,,92.18999,32.36,1.59,2.84,,0.3,0.37
g1,Herbivore,f1,g4,Female,,92.18999,33.68,1.47,1.68,,0.33,0.63
g1,Herbivore,f1,g4,Male,,53.37,7.32,1.3,1.84,,0.46,0.53
g4,Herbivore,f4,c1,Male,,73.8,34.57,1.08,2.23,,0.44,0.66
g4,Herbivore,f4,c9,Male,,73.8,34.57,1.08,2.23,,0.46,0.14
g4,Herbivore,f4,d3,Male,,92.18999,32.36,1.59,1.9,,0.46,0.14
g4,Herbivore,f4,e9,Female,,90.63,26.1,1.08,2.85,,0.15,0.14
g4,Herbivore,f4,e2,Female,,73.8,25.03,2.71,1.8,,0.69,0.53
g4,Herbivore,f4,c9,Male,,98.32999,39.28,1.14,1.8,,0.29,0.53
g9,Herbivore,f9,g4,Female,,92.18999,33.54,1.47,1.68,,0.33,0.5
g9,Herbivore,f9,b8,Female,,84.41,25.03,1.66,1.8,,0.46,0.53
