Name,Type,MotherName,FatherName,Sex,Gender,Sensory Radius,Move Speed,Hunger Speed,Thirst Speed,Grow Speed,Hunger Level,Thirst Level,Pregnancy,Diet,
Creature 1(Clone),Carnivore,,,Female,0.22,21.41,38.31,1.28,1.7,2.35,0.58,0.24,1.89,0.56,
Creature 1(Clone),Carnivore,,,Female,0.16,93.78,42.94,1.08,1.76,2.73,0.41,0.47,1.26,0.6,
Creature 1(Clone),Carnivore,,,Male,0.98,71.41,42.98,1.46,2.72,2.54,0.24,0.29,1.15,0.46,
Creature 1(Clone),Carnivore,,,Female,0.32,89.06,28.17,2.77,1.77,1,0.4,0.53,1.3,0.43,
Creature 1(Clone),Carnivore,,,Male,0.9899999,49.29,49.49,1.58,1.12,2.09,0.12,0.23,1.16,0.54,
Creature 1(Clone),Carnivore,,,Female,0.05,92.12,13.32,1.47,1.56,0.67,0.11,0.52,0.8,0.47,
Creature 1(Clone),Carnivore,,,Female,0.26,38.79,31.34,1.19,2.54,1.9,0.32,0.2,1.48,0.45,
Creature 1(Clone),Carnivore,,,Female,0.09,79.87,22.79,2.02,2.05,1.1,0.2,0.65,0.73,0.63,
Creature 1(Clone),Carnivore,,,Male,0.62,43.88,36.01,2.11,1.64,1.4,0.45,0.5,0.8,0.58,
Creature 1(Clone),Carnivore,,,Male,0.7,16.18,39.92,2.53,2.82,2.11,0.34,0.49,0.92,0.43,
Creature 1(Clone),Carnivore,,,Male,0.67,77.66,49.14,2.63,1.38,2.4,0.6,0.3,1.14,0.56,
Creature 1(Clone),Carnivore,,,Male,0.97,43.58,22.03,1.49,1.19,1.2,0.6,0.56,1.19,0.53,
Creature 1(Clone),Carnivore,,,Female,0.16,33.65,43.6,1.68,2.74,0.51,0.15,0.4,1.59,0.37,
Creature 1(Clone),Omnivore,,,Male,0.85,27.35,25.07,2.02,2.09,2.84,0.4,0.49,1.09,0.88,
Creature 1(Clone),Omnivore,,,Male,0.93,24.9,34.2,2.67,1.55,2.55,0.34,0.59,0.56,0.83,
Creature 1(Clone),Omnivore,,,Female,0.21,88,12.87,1.65,2.31,0.58,0.63,0.13,0.77,0.81,
Creature 1(Clone),Omnivore,,,Female,0.38,93.9,15.12,2.61,1.92,2.08,0.23,0.27,1.46,0.92,
Creature 1(Clone),Omnivore,,,Female,0.2,87.00999,16.76,1.85,2.98,1.92,0.39,0.2,1.84,0.76,
Creature 1(Clone),Omnivore,,,Female,0.29,50.66,13.38,2.77,1.12,0.69,0.41,0.13,0.91,0.9899999,
Creature 1(Clone),Omnivore,,,Male,0.98,79.4,35.39,1.18,2.9,1.7,0.16,0.5,1.96,0.81,
Creature 1(Clone),Omnivore,,,Female,0.36,87.49,49.85,1.87,2.59,0.82,0.26,0.56,0.98,0.84,
Creature 1(Clone),Omnivore,,,Male,0.81,56.26,16.21,2.97,2.75,2.52,0.64,0.5,1.52,0.76,
Creature 1(Clone),Omnivore,,,Male,0.96,14.78,40.83,2.84,1.3,2.8,0.4,0.45,1.15,0.93,
Creature 1(Clone),Omnivore,,,Female,0.34,10.18,9.179999,2.93,2.15,1.48,0.13,0.41,0.91,0.95,
Creature 1(Clone),Omnivore,,,Female,0.32,43.16,16.14,2.12,2.33,2.47,0.39,0.54,0.54,0.72,
Creature 1(Clone),Omnivore,,,Male,0.78,71.7,29.75,1.32,1.51,0.54,0.56,0.54,1.73,0.69,
Creature 1(Clone),Omnivore,,,Female,0.31,12.49,43.92,1.04,2.76,1.63,0.54,0.56,1.88,0.9899999,
Creature 1(Clone),Omnivore,,,Female,0.02,10.84,33.47,2.11,2.68,2.4,0.27,0.69,1.81,0.69,
Creature 1(Clone),Omnivore,,,Female,0.2,44.33,22.82,2.54,1.65,1.01,0.22,0.34,1.84,0.9899999,
Creature 1(Clone),Omnivore,,,Female,0.37,77.39,21.69,1.82,1.4,2.48,0.68,0.33,1.39,0.74,
Creature 1(Clone),Omnivore,,,Female,0.29,85.68,16.95,1.87,2.8,1.23,0.37,0.68,1.31,0.9,
Creature 1(Clone),Omnivore,,,Female,0.27,70.28,48.99,1.2,1.55,1.83,0.63,0.19,1.71,0.9,
Creature 1(Clone),Omnivore,,,Female,0.38,40.38,37.21,1.85,1.5,1.38,0.14,0.55,1.26,0.76,
b1,Herbivore,a15,a6,Female,0.47,12.93,13.01,1.2,1.58,1.69,0.64,0.52,1.55,0.32,
B1,Carnivore,A12,A1,Female,0.05,84.43,31.41,1.38,2.64,1.18,0.26,0.42,0.83,0.36,
b1,Herbivore,a1,a2,Female,0.33,78.41,21.06,2.58,1.8,0.96,0.43,0.44,1.9,0.16,
B1,Carnivore,A14,A16,Female,0.09,79.87,28.9,2.02,2.05,1.1,0.2,0.65,0.92,0.43,
b1,Herbivore,a19,a5,Female,0.24,56.49,35.29,1.81,2.63,2.74,0.13,0.3,0.64,0.3,
B4,Carnivore,A4,A0,Male,0.87,45.25,40.78,1.45,2.47,0.69,0.42,0.56,1.51,0.37,
b8,Herbivore,a8,a7,Female,0.04,87.57,25.71,2.84,2.47,1.75,0.11,0.19,0.67,0.11,
B2,Carnivore,A2,A5,Female,0.24,69.79,32.27,2.03,2.87,0.87,0.67,0.61,1.14,0.56,
P1,Omnivore,O19,O6,Female,0.38,40.38,37.21,1.85,1.05,1.7,0.16,0.5,1.96,0.81,
B1,Carnivore,A10,A15,Female,0.32,43.88,36.01,2.11,1.64,1.4,0.45,0.5,0.97,0.58,
P2,Omnivore,O2,O12,Male,0.7,26.89,29.75,1.32,1.51,0.54,0.56,0.54,1.73,0.69,
P7,Omnivore,O7,O8,Male,0.81,56.26,16.21,2.97,2.75,2.52,0.64,0.56,1.52,0.76,
P1,Omnivore,O16,O1,Female,0.37,77.39,21.69,2.67,1.55,1.2,0.34,0.59,0.56,0.83,
B1,Carnivore,A13,A3,Female,0.26,38.79,31.34,1.19,2.54,1.9,0.32,0.2,1.48,0.52,
P1,Omnivore,O17,O8,Female,0.29,41.56,16.95,1.87,2.8,1.23,0.37,0.68,1.52,0.76,
P1,Omnivore,O14,O9,Female,0.02,10.84,33.47,2.11,2.68,2.8,0.4,0.45,1.15,0.93,
b1,Herbivore,a18,a0,Female,0.39,80.92,9.34,2.82,1.03,1.44,0.2,0.3,1.89,0.21,
b1,Herbivore,a10,a4,Female,0.09,47.61,18.32,1.88,1.33,1.49,0.33,0.56,1.12,0.09,
B7,Carnivore,A7,A11,Female,0.22,21.41,38.31,1.28,1.12,2.09,0.12,0.23,1.16,0.54,
b9,Herbivore,a9,a12,Female,0.37,64.27,13.82,2.39,1.94,1.33,0.31,0.56,1.06,0.3,
P3,Omnivore,O3,O8,Female,0.38,93.9,16.21,2.97,2.75,2.52,0.64,0.5,1.52,0.76,
c1,Herbivore,b1,a11,Female,0.24,56.49,35.29,1.06,2.65,2.74,0.59,0.18,0.88,0.07,
b1,Herbivore,a13,a4,Female,0.14,44.26,16.97,1.09,1.2,2.6,0.33,0.56,1.12,0.09,
c1,Herbivore,b1,a14,Female,0.47,12.93,13.01,1.2,1.58,2.05,0.4,0.36,1.27,0.05,
B1,Carnivore,A14,A15,Female,0.09,79.87,28.9,2.02,1.64,1.4,0.45,0.16,0.8,0.58,
B1,Carnivore,A12,A17,Male,0.67,31.53,49.14,2.63,1.38,2.4,0.63,0.3,1.14,0.56,
B8,Carnivore,A8,A15,Female,0.05,43.88,36.01,2.11,1.64,1.4,0.45,0.5,0.8,0.58,
B6,Carnivore,A6,A15,Female,0.16,76.88,14.21,1.42,2.05,1.43,0.45,0.5,0.8,0.58,
P1,Omnivore,O19,O6,Female,0.38,79.4,35.39,1.85,2.9,1.7,0.16,0.5,1.96,0.81,
P1,Omnivore,O17,O12,Female,0.29,71.7,29.75,1.32,1.51,0.54,0.56,0.54,1.73,0.69,
P7,Omnivore,O7,P7,Male,0.81,56.26,45.18,2.97,2.75,2.52,0.64,0.56,1.52,0.76,
b1,Herbivore,a15,a3,Female,0.47,12.93,13.01,1.2,1.58,2.05,0.4,0.67,1.1,0.29,
B1,Carnivore,A19,A11,Female,0.16,33.65,43.6,1.58,1.12,2.09,0.12,0.23,1.16,0.54,
B7,Carnivore,A7,A11,Female,0.22,21.41,38.31,1.28,1.12,2.09,0.66,0.23,1.16,0.54,
C1,Carnivore,B1,A1,Male,0.67,31.53,49.14,1.52,2.64,1.18,0.54,0.42,0.83,0.36,
b1,Herbivore,a19,a12,Male,0.8,75.78,44.09,2.64,1.08,2.58,0.65,0.56,1.63,0.3,
c1,Herbivore,b1,a4,Female,0.14,44.26,16.97,1.09,1.2,0.64,0.33,0.46,1.12,0.09,
b1,Herbivore,a18,a0,Female,0.39,80.92,9.34,2.82,1.03,1.44,0.2,0.3,1.89,0.21,
P1,Omnivore,O14,O9,Male,0.96,14.78,40.83,2.84,2,2.8,0.4,0.45,1.15,0.93,
C2,Carnivore,B2,B4,Female,0.24,69.79,40.78,1.45,2.47,0.69,0.42,0.4,1.51,0.37,
b8,Herbivore,a8,a14,Female,0.04,61.37,45.78,1.19,2.09,2.05,0.4,0.36,1.27,0.05,
P5,Omnivore,O5,O8,Female,0.29,58.14,13.38,2.77,1.12,2.52,0.64,0.57,1.52,0.76,
B1,Carnivore,A10,A16,Male,0.71,43.88,36.01,2.11,1.64,1.4,0.45,0.49,0.92,0.43,
Q1,Omnivore,P1,P7,Female,0.29,71.7,29.75,1.32,1.51,2.52,0.64,0.56,1.52,0.76,
C7,Carnivore,B7,A18,Female,0.22,21.41,38.31,1.28,1.48,2.09,0.66,0.23,1.19,0.53,
B6,Carnivore,A6,A5,Female,0.16,39.78,35.37,2.98,1.58,1.05,0.67,0.61,0.92,0.56,
C1,Carnivore,B1,A3,Female,0.09,79.87,21.15,2.19,1.37,1.11,0.27,0.64,1.82,0.52,
C6,Carnivore,B6,A5,Female,0.16,39.78,35.37,2.98,1.58,1.05,0.67,0.61,0.92,0.56,
B8,Carnivore,A8,A18,Female,0.05,43.88,22.03,1.49,1.19,1.2,0.6,0.56,1.19,0.53,
C8,Carnivore,B8,A15,Female,0.05,43.88,22.03,1.49,1.64,1.4,0.45,0.43,0.52,0.58,
d1,Herbivore,c1,b1,Female,0.47,12.93,13.01,1.68,1.58,2.05,0.4,0.67,1.65,0.3,
P7,Omnivore,O7,O12,Male,0.78,71.7,29.75,1.32,1.51,0.54,0.56,0.54,1.73,0.69,
P2,Omnivore,O2,O12,Male,0.7,47.06,29.75,1.32,1.51,0.54,0.56,0.54,1.83,0.69,
Q1,Omnivore,P1,O0,Female,0.38,79.4,35.39,2.51,1.88,1.7,0.16,0.5,1.09,0.88,
P4,Omnivore,O4,O12,Female,0.2,36.54,16.76,1.85,2.98,1.92,0.39,0.58,1.84,0.69,
Q3,Omnivore,P3,P1,Female,0.38,69.71,16.21,2.97,2.48,2.8,0.4,0.45,1.15,0.93,
Q5,Omnivore,P5,O9,Female,0.29,58.14,13.38,2.77,1.12,2.52,0.64,0.45,1.15,0.93,
P3,Omnivore,O3,P7,Female,0.39,69.71,16.21,2.97,1.51,0.54,0.56,0.54,1.73,0.69,
B6,Carnivore,A6,A17,Female,0.15,39.78,35.37,2.98,1.58,2.4,0.6,0.3,1.14,0.56,
P1,Omnivore,O19,O8,Female,0.38,79.4,35.39,2.51,1.88,1.7,0.16,0.5,0.55,0.76,
D7,Carnivore,C7,B4,Male,0.64,21.41,38.31,1.28,1.48,2.09,0.66,0.23,1.19,0.37,
C1,Carnivore,B1,A18,Female,0.16,33.65,43.6,1.58,1.12,2.09,0.12,0.23,1.16,0.53,
C7,Carnivore,B7,A18,Male,0.64,21.41,38.31,1.28,1.48,1.7,0.6,0.56,1.19,0.53,
C6,Carnivore,B6,B1,Female,0.15,39.78,35.37,2.98,1.58,2.4,0.45,0.49,0.92,0.43,
P7,Omnivore,O7,P7,Male,0.78,71.7,29.75,1.32,1.51,0.54,0.56,0.54,1.73,0.69,
P2,Omnivore,O2,O12,Male,0.7,47.06,29.75,1.32,1.51,0.54,0.56,0.54,1.73,0.69,
B1,Carnivore,A10,B1,Male,0.71,43.88,36.01,2.17,1.64,1.4,0.45,0.49,1.05,0.43,
R1,Omnivore,Q1,P7,Female,0.38,79.4,35.39,2.88,1.88,1.41,0.16,0.54,1.73,0.69,
D6,Carnivore,C6,C1,Female,0.15,39.78,35.37,2.98,1.58,1.18,0.54,0.68,0.83,0.36,
P1,Omnivore,O16,O1,Female,0.37,77.39,21.69,2.67,1.55,1.2,0.34,0.59,0.56,0.83,
R1,Omnivore,Q1,O1,Female,0.29,71.7,29.75,1.32,1.51,2.52,0.64,0.59,0.56,0.83,
D2,Carnivore,C2,C1,Female,0.24,69.79,40.78,1.45,2.47,1.18,0.67,0.42,0.83,0.36,
Q1,Omnivore,P1,P2,Female,0.29,71.7,29.75,1.18,1.51,0.54,0.56,0.54,1.73,0.69,
Q3,Omnivore,P3,P1,Female,0.39,69.71,16.21,2.84,2,2.8,0.4,0.45,1.15,0.93,
S1,Omnivore,R1,O8,Female,0.29,71.7,29.75,2.58,1.51,0.54,0.56,0.5,1.01,0.76,
Q1,Omnivore,P1,O8,Female,0.37,77.39,21.69,2.58,2.75,2.52,0.64,0.5,1.52,0.76,
Q1,Omnivore,P1,O12,Female,0.38,79.4,35.39,2.39,1.88,1.41,0.36,0.54,1.73,0.69,
P1,Omnivore,O19,O12,Female,0.38,79.4,6.38,2.39,1.88,1.41,0.36,0.54,1.73,0.69,
R1,Omnivore,Q1,O8,Female,0.29,94.93999,29.75,2.58,1.51,2.52,0.64,0.5,1.52,0.76,
P7,Omnivore,O7,O1,Male,0.78,71.7,29.75,1.32,1.51,0.54,0.56,0.54,0.56,0.83,
Q1,Omnivore,P1,O8,Female,0.29,94.04,29.75,2.55,1.51,2.52,0.65,0.5,1.52,0.76,
P1,Omnivore,O13,O6,Female,0.31,12.49,43.92,1.04,2.76,1.63,0.54,0.56,1.88,0.81,
Q1,Omnivore,P1,P7,Female,0.38,79.4,6.38,2.39,1.88,1.41,0.36,0.54,0.56,0.83,
S1,Omnivore,R1,P7,Female,0.38,71.7,29.75,2.55,1.51,0.54,0.56,0.54,0.74,0.83,
P2,Omnivore,O2,P7,Male,0.7,47.06,29.75,1.32,2.76,0.54,0.56,0.54,0.56,0.83,
R3,Omnivore,Q3,P7,Female,0.39,74.5,47.42,1.32,1.51,0.54,0.56,0.15,0.56,0.83,
Q1,Omnivore,P1,O8,Male,0.81,56.26,16.21,2.97,2.75,2.52,0.64,0.5,1.52,0.76,
R3,Omnivore,Q3,O8,Female,0.39,74.5,47.42,1.71,1.95,0.54,0.56,0.5,1.6,0.76,
Q1,Omnivore,P1,P7,Female,0.38,71.7,29.75,2.55,1.51,0.54,0.56,0.54,0.56,0.83,
P7,Omnivore,O7,O12,Male,0.61,71.7,29.75,1.32,1.51,2.93,0.56,0.54,1.73,0.69,
Q1,Omnivore,P1,P2,Female,0.38,47.06,29.75,1.32,2.76,1.71,0.56,0.54,0.56,0.83,
R1,Omnivore,Q1,O8,Female,0.29,94.04,29.75,1.42,2.27,2.52,0.64,0.5,1.52,0.76,
R1,Omnivore,Q1,O8,Female,0.38,47.06,20.32,1.32,2.75,2.52,0.64,0.5,1.52,0.76,
R1,Omnivore,Q1,O12,Female,0.4,47.06,20.32,1.32,2.75,2.52,0.64,0.55,0.54,0.69,
R1,Omnivore,Q1,O12,Male,0.78,71.7,29.75,1.32,1.51,0.54,0.56,0.54,1.73,0.69,
P4,Omnivore,O4,P7,Female,0.2,36.54,16.76,1.85,2.98,1.92,0.39,0.29,1.48,0.69,
S1,Omnivore,R1,O12,Male,0.78,71.7,29.75,1.32,1.51,0.54,0.56,0.54,1.73,0.69,
P1,Omnivore,O13,O6,Female,0.31,12.49,43.92,1.04,2.76,1.63,0.54,0.5,1.96,0.81,
P1,Omnivore,O16,O1,Male,0.81,56.26,16.21,2.97,2.75,2.33,0.64,0.5,1.52,0.83,
Q5,Omnivore,P5,O1,Female,0.29,58.14,13.38,2.77,1.12,2.52,0.64,0.59,0.56,0.83,
Q1,Omnivore,P1,P2,Female,0.31,12.49,43.92,1.04,2.76,0.54,0.56,0.17,0.56,0.83,
R1,Omnivore,Q1,P7,Male,0.81,56.26,16.21,2.97,2.75,2.33,0.64,0.54,1.73,0.69,
Q1,Omnivore,P1,O1,Male,0.78,71.7,29.75,1.32,2.79,0.54,0.56,0.59,0.93,0.83,
Q3,Omnivore,P3,P2,Female,0.39,47.06,29.75,1.32,2.76,0.54,0.56,0.54,0.56,0.83,
R1,Omnivore,Q1,Q1,Male,0.81,56.26,16.21,2.97,2.75,2.33,0.64,0.54,1.73,0.69,
R1,Omnivore,Q1,P7,Female,0.26,71.7,29.75,1.32,1.51,2.93,0.56,0.54,1.73,0.69,
S1,Omnivore,R1,P7,Male,0.81,56.26,16.21,2.97,1.51,2.93,0.56,0.54,1.73,0.69,
P1,Omnivore,O19,P7,Male,0.81,71.7,29.08,1.32,1.51,2.93,0.56,0.54,1.73,0.69,
S1,Omnivore,R1,P7,Male,0.77,71.7,29.08,1.32,2.42,2.93,0.56,0.54,1.73,0.69,
S1,Omnivore,R1,P2,Male,0.7,47.06,29.75,1.32,2.76,0.54,0.56,0.54,0.81,0.83,
Q1,Omnivore,P1,P7,Male,0.77,71.7,29.08,2.68,2.42,2.93,0.56,0.54,1.73,0.69,
P1,Omnivore,O18,P7,Female,0.27,70.28,48.99,1.2,1.55,1.83,0.63,0.26,1.73,0.69,
S1,Omnivore,R1,P7,Male,0.7,47.06,29.75,1.3,2.76,0.54,0.56,0.54,0.81,0.69,
R1,Omnivore,Q1,P7,Male,0.7,45.73,31.96,1.32,1.51,2.93,0.56,0.54,1.73,0.69,
R5,Omnivore,Q5,O12,Female,0.29,58.14,29.75,1.32,1.51,0.54,0.56,0.54,1.73,0.69,
P1,Omnivore,O15,P1,Female,0.2,44.33,22.82,2.54,2,2.8,0.4,0.45,1.15,0.93,
R1,Omnivore,Q1,S1,Male,0.77,71.7,29.08,2.68,2.42,2.93,0.56,0.54,1.73,0.69,
Q4,Omnivore,P4,P2,Female,0.2,36.54,16.76,1.85,2.98,1.92,0.39,0.29,0.56,0.83,
T1,Omnivore,S1,S1,Male,0.77,71.7,29.08,2.68,2.42,2.93,0.56,0.54,1.73,0.69,
Q1,Omnivore,P1,P2,Male,0.7,45.73,31.96,1.32,1.51,2.93,0.09999999,0.54,0.56,0.83,
Q1,Omnivore,P1,R1,Male,0.7,56.26,38.8,2.97,2.75,2.33,0.64,0.54,1.73,0.69,
P1,Omnivore,O16,P1,Male,0.81,47.28,16.21,2.97,2.75,2.33,0.64,0.54,1.73,0.69,
T1,Omnivore,S1,P1,Male,0.7,56.26,38.8,2.97,2.75,2.33,0.64,0.54,1.68,0.69,
R1,Omnivore,Q1,P1,Male,0.7,56.26,38.8,2.97,2.75,2.33,0.64,0.54,1.73,0.69,
R1,Omnivore,Q1,R1,Male,0.77,81.53,29.08,2.68,2.42,2.93,0.56,0.54,0.85,0.69,
R3,Omnivore,Q3,Q1,Male,0.77,81.53,29.08,2.68,2.42,2.93,0.56,0.54,0.85,0.69,
Q1,Omnivore,P1,S1,Female,0.32,81.53,29.08,2.68,2.42,0.91,0.56,0.54,0.85,0.69,
Q1,Omnivore,P1,P7,Female,0.32,81.53,29.08,2.68,2.42,2.93,0.56,0.54,1.73,0.69,
R1,Omnivore,Q1,P1,Male,0.52,47.28,16.21,2.97,2.75,2.33,0.64,0.54,1.73,0.69,
P7,Omnivore,O7,P7,Male,0.61,71.7,6.6,2.82,1.51,2.93,0.34,0.54,1.73,0.69,
R1,Omnivore,Q1,R1,Male,0.7,81.53,29.08,2.68,2.42,2.93,0.56,0.54,1.73,0.69,
P2,Omnivore,O2,O0,Male,0.7,39.2,25.07,2.02,2.09,2.84,0.4,0.49,1.09,0.88,
R1,Omnivore,Q1,O12,Male,0.78,71.7,29.75,1.32,2.86,0.54,0.56,0.09999999,1.73,0.69,
P1,Omnivore,O18,Q1,Female,0.27,70.28,48.99,1.2,1.55,1.83,0.27,0.26,1.73,0.69,
Q1,Omnivore,P1,P7,Male,0.61,71.7,6.6,2.82,1.51,2.93,0.21,0.54,1.73,0.69,
S1,Omnivore,R1,P7,Male,0.7,71.7,6.6,2.82,1.51,2.93,0.34,0.11,1.73,0.69,
S1,Omnivore,R1,P7,Male,0.7,71.7,35.14,2.82,1.51,2.93,0.27,0.54,1.73,0.69,
R4,Omnivore,Q4,Q1,Male,0.7,71.7,35.14,2.82,1.51,0.79,0.27,0.54,1.73,0.69,
R1,Omnivore,Q1,P7,Male,0.78,71.7,29.75,1.32,1.51,2.93,0.34,0.54,0.75,0.69,
Q1,Omnivore,P1,P2,Male,0.52,39.2,25.07,2.02,2.09,2.84,0.4,0.49,1.49,0.88,
R1,Omnivore,Q1,P7,Male,0.61,71.7,6.6,2.82,1.51,2.93,0.34,0.54,1.73,0.69,
S3,Omnivore,R3,P2,Male,0.88,81.53,29.08,2.68,1.79,2.93,0.56,0.49,1.09,0.88,
R1,Omnivore,Q1,P7,Male,0.78,71.7,29.75,1.32,1.35,2.93,0.63,0.54,1.73,0.69,
S1,Omnivore,R1,P2,Male,0.72,71.7,47.61,2.51,2.09,2.84,0.4,0.49,1.09,0.88,
R5,Omnivore,Q5,P2,Female,0.29,58.14,47.41,1.32,2.09,2.84,0.4,0.49,1.09,0.88,
Q1,Omnivore,P1,T1,Female,0.31,10.03,43.92,1.04,2.76,0.54,0.56,0.17,0.84,0.88,
T1,Omnivore,S1,R1,Male,0.72,71.7,47.61,2.51,1.01,2.93,0.34,0.54,1.73,0.69,
Q1,Omnivore,P1,P2,Female,0.2,39.2,25.07,2.02,2.09,2.84,0.4,0.49,1.09,0.88,
Q1,Omnivore,P1,R1,Male,0.61,71.7,6.6,2.82,1.01,2.93,0.34,0.54,1.73,0.69,
S1,Omnivore,R1,P7,Male,0.61,71.7,17.43,2.82,1.01,2.93,0.34,0.54,1.73,0.69,
S1,Omnivore,R1,P1,Female,0.01,14.78,40.83,2.84,2,2.8,0.4,0.45,1.15,0.93,
S1,Omnivore,R1,R1,Male,0.61,71.7,17.43,2.52,2.95,2.84,0.4,0.49,1.98,0.88,
R1,Omnivore,Q1,T1,Female,0.01,14.78,40.83,2.06,2,2.84,0.14,0.49,0.59,0.88,
Q1,Omnivore,P1,Q1,Female,0.05,14.78,17.43,2.52,2.95,2.84,0.4,0.49,1.98,0.88,
P1,Omnivore,O19,S1,Female,0.05,14.78,47.55,2.52,2.95,0.98,0.4,0.49,1.98,0.88,
P7,Omnivore,O7,P7,Male,0.61,71.7,6.6,2.82,1.51,2.93,0.34,0.54,1.73,0.69,
R1,Omnivore,Q1,P2,Male,0.7,89.43,25.07,2.02,2.09,2.84,0.4,0.49,1.53,0.88,
Q1,Omnivore,P1,Q1,Male,0.61,71.7,6.6,2.82,1.51,0.69,0.21,0.54,1.73,0.88,
R1,Omnivore,Q1,S1,Male,0.61,71.7,17.43,2.52,2.95,2.84,0.4,0.49,1.98,0.88,
R3,Omnivore,Q3,R1,Male,0.61,71.7,17.43,2.52,2.95,2.84,0.34,0.49,1.98,0.88,
Q1,Omnivore,P1,Q1,Male,0.61,71.7,6.6,2.82,1.51,2.41,0.21,0.54,1.73,0.88,
P1,Omnivore,O13,R1,Female,0.31,10.03,43.92,1.04,1.62,2.84,0.4,0.49,1.53,0.88,
S1,Omnivore,R1,P2,Male,0.61,71.7,17.43,2.52,2.95,2.84,0.4,0.49,1.09,0.88,
S3,Omnivore,R3,R1,Male,0.61,94.39,17.43,2.52,2.39,2.84,0.4,0.49,1.53,0.88,
S1,Omnivore,R1,S1,Male,0.61,71.7,17.43,2.52,2.95,2.84,0.4,0.49,1.09,0.88,
R1,Omnivore,Q1,P2,Male,0.61,55.97,25.07,2.02,2.09,2.84,0.4,0.49,0.54,0.88,
R1,Omnivore,Q1,Q1,Male,0.7,89.43,25.07,2.02,2.09,2.84,0.4,0.49,1.49,0.88,
S5,Omnivore,R5,O12,Female,0.29,58.14,47.41,1.32,2.09,0.54,0.56,0.54,1.73,0.69,
Q1,Omnivore,P1,S3,Male,0.61,94.39,17.43,2.52,2.39,2.84,0.67,0.49,1.53,0.88,
R1,Omnivore,Q1,P7,Female,0.2,39.2,25.07,2.82,1.51,2.63,0.34,0.54,1.73,0.69,
P1,Omnivore,O16,O6,Male,0.52,39.2,25.07,2.02,2.09,2.84,0.4,0.49,1.96,0.81,
R1,Omnivore,Q1,T1,Male,0.61,94.39,17.43,2.52,1.3,2.84,0.67,0.49,1.49,0.88,
