Name,Type,MotherName,FatherName,Sex,Gender,Sensory Radius,Move Speed,Hunger Speed,Thirst Speed,Grow Speed,Hunger Level,Thirst Level,Pregnancy,Diet,
a22,Herbivore,,,Female,0.09,50.42,39.71,2.89,2.8,2.28,0.53,0.61,1.99,0.27,
a23,Herbivore,,,Female,0.3,13.15,23.19,1.86,1.45,2.07,0.12,0.43,1.78,0.09,
a24,Herbivore,,,Female,0.31,24.5,45.04,1.69,2.57,0.73,0.48,0.59,1.37,0.3,
a25,Herbivore,,,Female,0.36,15.08,28.58,1.23,1.61,1.92,0.25,0.49,0.73,0.11,
a26,Herbivore,,,Female,0.39,53.36,9.45,2.97,1.87,1.18,0.3,0.66,1.73,0.19,
a27,Herbivore,,,Female,0.04,92.75,18.13,1,1.67,0.9,0.63,0.49,1.88,0.14,
a28,Herbivore,,,Female,0.4,90.9,24.5,1.92,2.87,1.22,0.56,0.13,0.65,0.23,
a29,Herbivore,,,Female,0.48,44.85,18.88,2.48,1.81,0.77,0.69,0.52,1.77,0.13,
a30,Herbivore,,,Female,0.17,89.54,31.47,2.5,2.82,2.53,0.36,0.31,0.94,0.02,
a31,Herbivore,,,Female,0.47,16.04,10.91,1.34,1.24,2.88,0.36,0.18,0.8,0.3,
a32,Herbivore,,,Male,0.56,45.76,11.56,2.25,2.75,0.78,0.61,0.62,2,0.28,
a33,Herbivore,,,Female,0.05,76.16,39.84,2.78,1.6,0.54,0.45,0.66,0.92,0.16,
a34,Herbivore,,,Male,0.68,70.93999,23.53,1.56,1.87,1.24,0.35,0.66,0.82,0,
a35,Herbivore,,,Male,0.72,86.96,44.32,1.6,1.88,2.87,0.45,0.69,0.78,0.23,
a36,Herbivore,,,Female,0.47,28.13,26.06,2.24,1.55,2.09,0.67,0.48,0.93,0.17,
a37,Herbivore,,,Female,0.29,73.54,25.98,2.61,1.55,0.91,0.25,0.24,1.75,0.08,
a38,Herbivore,,,Male,0.94,84.7,25.74,1.43,1.97,2.92,0.55,0.22,0.6,0.17,
a39,Herbivore,,,Male,0.95,36.72,24.07,1.14,2.25,0.65,0.48,0.62,0.96,0.22,
a40,Herbivore,,,Male,0.67,48.97,30.39,2.6,1.53,1.85,0.69,0.65,1.38,0.03,
a41,Herbivore,,,Female,0.45,13.7,36.11,1.88,1.09,1.56,0.56,0.63,0.81,0.08,
a42,Herbivore,,,Female,0.23,90.23,33.99,2.73,2.14,2.14,0.5,0.17,1.69,0.27,
a43,Herbivore,,,Female,0.5,55.56,44.68,1.36,2.05,2.77,0.34,0.13,1.88,0.32,
a44,Herbivore,,,Female,0.09999999,50.17,47.83,2.8,2.91,1.3,0.48,0.4,1.02,0.12,
a45,Herbivore,,,Male,0.64,28.27,25.45,1.66,2.12,1.41,0.64,0.3,0.53,0.12,
a46,Herbivore,,,Male,0.6,85.02,48.85,1.31,2,1.55,0.47,0.65,1.04,0.29,
a47,Herbivore,,,Male,0.89,84.86,8.3,1.39,1.62,2.78,0.48,0.17,1.99,0.25,
a48,Herbivore,,,Male,0.75,63.8,22.32,1.44,1.1,2.2,0.25,0.35,1.32,0.22,
a49,Herbivore,,,Male,0.88,53.4,41.71,2.96,2.29,2.79,0.43,0.67,1.65,0.09999999,
a50,Herbivore,,,Female,0.4,11.22,21.43,1.01,1.43,2.08,0.42,0.29,0.63,0.27,
a51,Herbivore,,,Male,0.61,31.51,17.61,2,2.43,2.4,0.61,0.58,0.95,0.01,
a52,Herbivore,,,Female,0.27,96.38,25.41,2.51,1.18,1.13,0.41,0.62,1.18,0.03,
a53,Herbivore,,,Female,0.4,72.71,7.06,2.6,1.62,2.16,0.32,0.49,1.76,0.19,
a54,Herbivore,,,Male,0.6,53.33,43.67,1.32,1.64,2.23,0.48,0.64,1.66,0.02,
a55,Herbivore,,,Female,0.14,38.71,44.03,2.08,1.22,0.88,0.56,0.64,1.98,0.29,
a56,Herbivore,,,Male,0.63,59,33.22,1.49,1.05,1.39,0.4,0.17,0.94,0.11,
a57,Herbivore,,,Male,0.58,53.64,23.12,2.28,2.74,1.47,0.25,0.45,1.52,0.33,
a58,Herbivore,,,Female,0.31,87.68999,39.39,1.29,2.79,1.92,0.46,0.29,1.36,0,
a59,Herbivore,,,Female,0.35,87.89,21.1,1.2,2.39,1.68,0.11,0.42,1.75,0.07,
a60,Herbivore,,,Male,0.61,18.65,29.73,2.72,2.76,2.2,0.48,0.26,1.43,0.18,
a61,Herbivore,,,Female,0.36,63.23,14,1.19,2.65,0.74,0.48,0.56,0.51,0.15,
a62,Herbivore,,,Female,0.48,60.43,33.88,2.82,2.58,0.92,0.52,0.21,0.75,0.03,
a63,Herbivore,,,Female,0.15,26.74,16.47,2.06,1.45,2.17,0.56,0.56,1.05,0.23,
a64,Herbivore,,,Female,0.14,17.63,49.36,2.2,1.81,2.1,0.17,0.57,0.95,0.25,
a65,Herbivore,,,Female,0.26,73.07,18.06,3,2.69,2.68,0.2,0.21,1.48,0.23,
a66,Herbivore,,,Female,0.03,60.94,19.47,2.1,2.63,2.74,0.16,0.37,1.99,0.06,
a67,Herbivore,,,Male,0.64,94.1,28.45,2.98,2.45,1.53,0.42,0.51,0.62,0.03,
a68,Herbivore,,,Female,0.38,15.91,16.28,1.95,1.82,1.23,0.15,0.58,1.48,0.22,
a69,Herbivore,,,Male,0.64,63.48,38.62,2.19,1.58,2.12,0.39,0.69,0.63,0.09,
a70,Herbivore,,,Male,0.74,84.08,47.74,1.29,2.43,1.7,0.56,0.28,0.77,0.09,
a71,Herbivore,,,Female,0.29,48.03,35.11,1.64,1.97,0.76,0.56,0.12,1.53,0.17,
a72,Herbivore,,,Male,0.94,83.5,42.16,1.72,2.04,1.55,0.54,0.35,1.43,0.07,
a73,Herbivore,,,Male,0.7,29.82,22.79,2.03,2.38,0.51,0.28,0.25,0.83,0.05,
a74,Herbivore,,,Male,0.73,37.34,29.45,2.2,1.16,2.23,0.59,0.3,1.49,0.19,
a75,Herbivore,,,Male,0.51,82.61,25.19,1.96,1.82,2.86,0.27,0.61,1.39,0.12,
a76,Herbivore,,,Male,0.56,62.51,45.73,1.42,2.93,0.68,0.53,0.15,0.59,0.31,
a77,Herbivore,,,Male,0.8,56.55,6.67,2.45,1.4,1,0.15,0.43,1.02,0.18,
a78,Herbivore,,,Female,0.38,14.27,35.09,2.59,1.96,2.29,0.58,0.67,0.84,0.09,
a79,Herbivore,,,Female,0.3,78.71,14.41,1,1.85,1.4,0.47,0.21,1.87,0.09999999,
a80,Herbivore,,,Male,0.79,64.91,11.8,2.93,2.56,0.93,0.36,0.5,1.33,0.32,
a81,Herbivore,,,Male,0.93,67.17,28.43,1.67,1.18,0.73,0.24,0.51,0.57,0.33,
a82,Herbivore,,,Female,0.25,55.14,12.33,1.01,1.76,0.76,0.34,0.41,1.15,0.24,
a83,Herbivore,,,Female,0.49,37.52,37.91,2.32,1.87,2.98,0.46,0.09999999,0.82,0.21,
a84,Herbivore,,,Female,0.17,42.27,47.3,1.07,2.41,2.19,0.49,0.37,1.38,0.09999999,
a85,Herbivore,,,Female,0.08,94.9,23.21,1.97,2.33,2.18,0.44,0.67,1.62,0.3,
a86,Herbivore,,,Male,0.72,13.73,6.42,2.9,2.82,1.98,0.21,0.63,0.96,0.25,
a87,Herbivore,,,Female,0.44,68.58,22.68,2.2,2.73,2.54,0.45,0.59,0.63,0.17,
a88,Herbivore,,,Female,0.31,46.1,6.29,1.58,1.59,2.52,0.65,0.48,1.99,0.25,
a89,Herbivore,,,Male,0.89,87.37,9.17,1.79,2.92,0.56,0.36,0.22,0.98,0.2,
a90,Herbivore,,,Male,0.93,95.22,45.56,1.31,1.51,1.67,0.37,0.19,1.75,0.32,
a91,Herbivore,,,Male,0.81,78,35.1,2.51,2.31,1.96,0.52,0.29,1.09,0.21,
a92,Herbivore,,,Male,0.59,61.32,30.05,1.8,1,0.59,0.6,0.28,0.9899999,0.26,
a93,Herbivore,,,Male,0.61,78.49,7.28,2.01,1.8,2.32,0.3,0.32,1.01,0.08,
a94,Herbivore,,,Female,0.02,91.78,32.15,2.18,2.19,0.67,0.17,0.2,1.34,0.33,
a95,Herbivore,,,Male,0.52,34.63,40.83,1.4,2.5,0.52,0.56,0.58,1.8,0.03,
a96,Herbivore,,,Male,0.74,91.88,23.88,2.22,1.12,2.16,0.31,0.66,1.18,0.23,
a97,Herbivore,,,Female,0.07,15.19,10.25,2.05,1.85,0.66,0.33,0.33,0.88,0.29,
a98,Herbivore,,,Female,0.43,94.57,42.78,2.09,1.25,2.46,0.31,0.23,0.97,0.33,
a99,Herbivore,,,Female,0.26,40.26,8.51,2.2,2.29,2.93,0.3,0.18,1.49,0.11,
b1,Herbivore,a13,a56,Female,0.09,59,33.22,1.49,1.05,1.39,0.4,0.17,0.94,0.11,
b5,Herbivore,a50,a34,Female,0.4,11.22,21.43,1.01,1.43,2.08,0.42,0.29,0.63,0,
b4,Herbivore,a41,a73,Female,0.45,13.7,36.11,1.88,2.38,0.51,0.28,0.25,0.83,0.05,
b0,Herbivore,a0,a72,Female,0.49,18.61,48.33,2.99,1.18,0.64,0.51,0.18,0.94,0.07,
b7,Herbivore,a78,a74,Female,0.38,14.27,35.09,2.59,1.96,2.29,0.58,0.67,1.49,0.19,
b2,Herbivore,a21,a96,Female,0.12,28.34,43.05,2.22,1.12,2.16,0.31,0.66,1.18,0.23,
b6,Herbivore,a64,a51,Female,0.14,17.63,49.36,2.2,1.81,2.4,0.61,0.58,0.95,0.01,
b1,Herbivore,a11,a56,Female,0.27,96.97,33.51,1.05,2.79,1.9,0.4,0.17,0.94,0.11,
b9,Herbivore,a97,a57,Male,0.58,53.64,23.12,2.28,2.74,1.47,0.25,0.45,1.52,0.33,
b3,Herbivore,a33,a86,Female,0.05,76.16,39.84,2.9,2.82,1.98,0.21,0.63,0.96,0.25,
b8,Herbivore,a83,a49,Female,0.49,53.4,41.71,2.96,2.29,2.79,0.43,0.67,1.65,0.09999999,
b4,Herbivore,a44,a93,Female,0.09999999,78.49,7.28,2.01,1.8,2.32,0.3,0.32,1.01,0.08,
b9,Herbivore,a98,a39,Female,0.43,36.72,24.07,1.14,2.25,0.65,0.48,0.62,0.96,0.22,
b1,Herbivore,a15,a46,Female,0.34,30.56,48.85,1.31,2,1.55,0.47,0.65,1.04,0.29,
b1,Herbivore,a19,a47,Female,0.44,35.99,13.1,2.32,2.84,1.78,0.48,0.17,1.99,0.25,
b5,Herbivore,a5,a46,Female,0.16,23.01,44.12,2.45,2,1.55,0.47,0.65,1.04,0.29,
b6,Herbivore,a68,a60,Female,0.38,15.91,16.28,1.95,1.82,1.23,0.15,0.26,1.43,0.18,
b6,Herbivore,a62,a38,Female,0.48,60.43,33.88,2.82,2.58,2.92,0.55,0.22,0.6,0.17,
b7,Herbivore,a71,a20,Female,0.29,48.03,29.43,2.52,1.76,0.5,0.28,0.11,1.01,0.08,
b8,Herbivore,a84,a3,Female,0.17,42.27,39.45,1.42,2.81,1.68,0.64,0.64,1.02,0.21,
b9,Herbivore,a99,a89,Male,0.89,87.37,9.17,1.79,2.92,0.56,0.36,0.22,0.98,0.2,
b5,Herbivore,a58,a56,Female,0.31,87.68999,39.39,1.29,2.79,1.39,0.4,0.17,0.94,0.11,
b9,Herbivore,a94,a80,Female,0.02,91.78,32.15,2.18,2.56,0.93,0.36,0.5,1.33,0.32,
b3,Herbivore,a36,a16,Female,0.47,28.13,26.06,2.24,1.55,2.09,0.11,0.19,1.61,0.18,
b5,Herbivore,a59,a70,Female,0.35,87.89,21.1,1.2,2.39,1.68,0.11,0.42,1.75,0.09,
b4,Herbivore,a43,a72,Female,0.5,55.56,44.68,1.36,2.05,2.77,0.34,0.35,1.43,0.07,
b8,Herbivore,a87,a38,Female,0.44,68.58,22.68,2.2,2.73,2.92,0.55,0.22,0.6,0.17,
b2,Herbivore,a2,a20,Female,0.09999999,10.09,11.35,2.63,2.15,2.49,0.33,0.52,1.74,0.08,
b5,Herbivore,a53,a70,Female,0.4,72.71,7.06,2.6,1.62,2.16,0.32,0.49,0.77,0.09,
b3,Herbivore,a30,a38,Female,0.17,89.54,31.47,2.5,2.82,2.53,0.36,0.31,0.6,0.17,
b2,Herbivore,a22,a3,Female,0.09,50.42,39.71,2.89,2.81,1.68,0.64,0.64,1.02,0.21,
b2,Herbivore,a28,a16,Female,0.4,90.9,22.17,2.19,2.96,2.96,0.11,0.19,1.61,0.18,
b2,Herbivore,a23,a49,Female,0.3,13.15,23.19,1.86,1.45,2.07,0.12,0.67,1.65,0.09999999,
b8,Herbivore,a85,a32,Female,0.08,94.9,23.21,1.97,2.75,0.78,0.61,0.62,2,0.28,
b2,Herbivore,a29,a12,Female,0.48,44.85,18.88,2.48,1.81,0.77,0.69,0.58,1.14,0.3,
b5,Herbivore,a52,a32,Female,0.27,96.38,25.41,2.51,2.75,0.78,0.61,0.62,2,0.28,
b4,Herbivore,a42,a75,Female,0.23,90.23,25.19,1.96,1.82,2.86,0.27,0.61,1.39,0.12,
b4,Herbivore,a4,a56,Female,0.46,86.83,21.93,2.34,1.14,1.13,0.4,0.17,0.94,0.11,
b1,Herbivore,a14,a56,Female,0.07,76.73,33.35,1.49,1.05,1.39,0.4,0.17,0.94,0.11,
b8,Herbivore,a88,a35,Female,0.31,46.1,6.29,1.58,1.59,2.52,0.45,0.69,0.78,0.23,
b5,Herbivore,a55,a7,Female,0.14,38.71,47.08,1.9,1.62,2.43,0.65,0.7,1.88,0.16,
b2,Herbivore,a26,a1,Female,0.39,53.36,9.45,2.97,1.87,1.18,0.3,0.66,0.61,0.18,
b8,Herbivore,a82,a38,Female,0.25,55.14,12.33,1.01,1.76,0.76,0.34,0.41,0.6,0.17,
b3,Herbivore,a37,a32,Female,0.29,73.54,25.98,2.61,1.55,0.91,0.25,0.24,1.75,0.28,
b6,Herbivore,a66,a47,Female,0.03,60.94,8.3,1.39,1.62,2.78,0.48,0.17,1.99,0.25,
b1,Herbivore,a18,a1,Female,0.26,31.15,19.55,2.29,1.62,0.77,0.41,0.47,0.61,0.18,
b8,Herbivore,a8,a38,Female,0.19,68.68,23.22,2.08,1.84,0.94,0.45,0.31,0.6,0.17,
b2,Herbivore,a27,a77,Male,0.8,56.55,6.67,2.45,1.4,1,0.15,0.43,1.02,0.18,
c6,Herbivore,b6,a74,Female,0.14,17.63,49.36,2.2,1.81,2.4,0.59,0.3,1.49,0.19,
b4,Herbivore,a41,a92,Female,0.45,13.7,36.11,1.8,1,0.59,0.6,0.28,0.9899999,0.26,
b1,Herbivore,a13,a3,Female,0.09,59,39.45,1.42,2.81,1.68,0.64,0.64,1.02,0.21,
c1,Herbivore,b1,a51,Female,0.09,59,39.45,2,2.43,2.4,0.61,0.58,0.95,0.01,
b4,Herbivore,a44,a47,Male,0.89,84.86,8.3,1.39,1.62,2.78,0.48,0.17,1.99,0.25,
b1,Herbivore,a11,a67,Female,0.27,96.97,33.51,1.05,2.79,1.9,0.42,0.51,0.62,0.03,
c5,Herbivore,b5,a76,Male,0.56,62.51,45.73,1.42,2.93,0.68,0.53,0.15,0.59,0.31,
c5,Herbivore,b5,a72,Female,0.4,11.22,21.43,1.01,1.43,2.08,0.42,0.29,0.63,0.07,
c2,Herbivore,b2,a95,Female,0.12,28.34,43.05,2.22,1.12,0.52,0.56,0.58,1.8,0.03,
c3,Herbivore,b3,a54,Female,0.17,89.54,31.47,2.5,2.82,2.53,0.36,0.31,0.6,0.02,
c8,Herbivore,b8,a70,Female,0.17,42.27,39.45,1.42,2.81,1.68,0.64,0.64,1.02,0.09,
c1,Herbivore,b1,a69,Female,0.34,30.56,48.85,1.31,2,1.55,0.39,0.69,0.63,0.09,
c2,Herbivore,b2,a51,Female,0.4,90.9,22.17,2,2.43,2.4,0.61,0.58,0.95,0.01,
b6,Herbivore,a64,a40,Female,0.14,17.63,49.36,2.2,1.81,2.4,0.59,0.65,1.38,0.03,
b8,Herbivore,a84,a57,Female,0.17,42.27,39.45,1.42,2.81,1.68,0.64,0.64,1.02,0.33,
b6,Herbivore,a62,a75,Female,0.48,60.43,33.88,2.82,1.82,2.86,0.27,0.61,1.39,0.12,
b3,Herbivore,a33,a57,Female,0.05,76.16,39.84,2.9,2.82,1.47,0.25,0.45,1.52,0.33,
b6,Herbivore,a63,a3,Male,0.52,42.72,39.45,1.42,2.81,1.68,0.64,0.64,1.02,0.21,
c2,Herbivore,b2,a75,Female,0.09,50.42,39.71,2.89,1.82,2.86,0.27,0.61,1.39,0.12,
c4,Herbivore,b4,a35,Female,0.5,55.56,44.68,1.36,2.05,2.77,0.34,0.35,1.43,0.23,
c4,Herbivore,b4,a72,Female,0.23,90.23,25.19,1.96,1.82,2.86,0.27,0.61,1.39,0.07,
b5,Herbivore,a55,a7,Male,0.97,80.52,47.08,1.9,1.62,2.43,0.65,0.7,1.88,0.16,
b2,Herbivore,a28,a49,Female,0.4,90.9,22.17,2,2.43,2.4,0.61,0.58,0.95,0.09999999,
b2,Herbivore,a22,a49,Female,0.09,50.42,39.71,2.89,1.82,2.86,0.27,0.61,1.39,0.09999999,
b3,Herbivore,a36,a38,Female,0.47,28.13,25.74,1.43,1.97,2.92,0.55,0.22,0.6,0.17,
c8,Herbivore,b8,a67,Female,0.49,53.4,41.71,2.96,2.29,2.79,0.43,0.51,0.62,0.03,
c5,Herbivore,b5,a69,Male,0.97,80.52,38.62,2.19,1.58,2.12,0.39,0.69,0.63,0.09,
c1,Herbivore,b1,a49,Female,0.27,96.97,33.51,1.05,2.29,2.79,0.43,0.67,1.65,0.09999999,
c1,Herbivore,b1,a57,Female,0.07,76.73,33.35,1.49,1.05,1.39,0.4,0.17,0.94,0.33,
c3,Herbivore,b3,a54,Female,0.47,28.13,25.74,1.43,1.64,2.23,0.48,0.64,1.66,0.02,
b8,Herbivore,a87,a34,Female,0.44,68.58,22.68,2.2,2.73,2.92,0.55,0.22,0.82,0,
b7,Herbivore,a71,a91,Female,0.29,48.03,29.43,2.52,2.31,1.96,0.52,0.29,1.09,0.21,
b5,Herbivore,a59,a75,Female,0.35,87.89,25.19,1.96,1.82,2.86,0.27,0.61,1.39,0.12,
b5,Herbivore,a5,a34,Female,0.16,23.01,44.12,2.45,2,1.55,0.35,0.66,0.82,0,
b4,Herbivore,a42,a46,Female,0.23,90.23,25.19,1.96,1.82,1.55,0.47,0.65,1.04,0.29,
b9,Herbivore,a9,a6,Female,0.33,30.94,18.7,2.31,2.36,1.21,0.56,0.13,0.74,0.21,
b8,Herbivore,a8,a38,Female,0.19,68.68,23.22,1.43,1.97,2.92,0.55,0.22,0.6,0.17,
b1,Herbivore,a15,a10,Female,0.34,30.56,30.61,2.31,2.93,1.06,0.52,0.25,0.93,0,
b5,Herbivore,a58,a6,Male,0.52,78.53,45.19,1.58,1.69,1.38,0.24,0.19,1.22,0.21,
c6,Herbivore,b6,a81,Female,0.03,60.94,8.3,1.39,1.62,2.78,0.48,0.17,0.57,0.33,
c6,Herbivore,b6,a17,Female,0.14,17.63,49.36,1.15,1.75,2.81,0.45,0.53,0.72,0.04,
b4,Herbivore,a41,a1,Female,0.45,13.7,36.11,1.8,1,0.59,0.41,0.47,0.61,0.18,
d5,Herbivore,c5,a7,Female,0.4,11.22,21.43,1.01,1.62,2.43,0.65,0.7,1.88,0.16,
c8,Herbivore,b8,a48,Male,0.75,63.8,22.32,1.44,1.1,2.2,0.25,0.35,1.32,0.22,
c6,Herbivore,b6,b4,Female,0.48,60.43,33.88,2.82,1.82,2.86,0.27,0.61,1.39,0.25,
d8,Herbivore,c8,a72,Female,0.49,53.4,41.71,1.72,2.04,1.55,0.54,0.35,1.43,0.07,
c1,Herbivore,b1,a32,Female,0.09,59,39.45,2.25,2.75,0.78,0.61,0.62,2,0.28,
b2,Herbivore,a24,a73,Female,0.31,24.5,45.04,1.69,2.57,0.73,0.28,0.25,0.83,0.05,
c3,Herbivore,b3,a69,Female,0.47,28.13,38.62,2.19,1.58,2.12,0.39,0.69,0.63,0.09,
d1,Herbivore,c1,b4,Female,0.09,59,39.45,2.25,2.75,0.78,0.61,0.17,1.99,0.25,
c9,Herbivore,b9,a74,Female,0.02,91.78,32.15,2.18,1.16,2.23,0.59,0.3,1.49,0.19,
c4,Herbivore,b4,a90,Male,0.93,95.22,45.56,1.31,1.51,1.67,0.37,0.19,1.75,0.32,
c1,Herbivore,b1,a48,Female,0.34,30.56,30.61,2.31,2.93,2.2,0.25,0.35,1.32,0.22,
b9,Herbivore,a94,a20,Female,0.02,91.78,32.15,2.52,1.76,0.5,0.28,0.11,1.01,0.08,
d1,Herbivore,c1,c5,Female,0.34,30.56,30.61,2.31,2.93,2.2,0.25,0.35,1.32,0.09,
b4,Herbivore,a43,a10,Female,0.5,55.56,44.68,2.31,2.93,1.06,0.52,0.25,0.93,0,
c6,Herbivore,b6,a48,Male,0.75,63.8,22.32,1.44,1.1,2.2,0.25,0.35,1.32,0.22,
b8,Herbivore,a84,a48,Female,0.17,42.27,39.45,1.42,2.81,1.68,0.64,0.35,1.32,0.22,
b4,Herbivore,a44,a95,Male,0.89,34.63,40.83,1.4,2.5,0.52,0.56,0.58,1.8,0.03,
b6,Herbivore,a66,b9,Male,0.58,53.64,23.12,2.28,2.74,1.47,0.25,0.45,1.52,0.33,
c2,Herbivore,b2,a48,Female,0.09,50.42,39.71,2.89,1.82,2.86,0.25,0.35,1.32,0.22,
b2,Herbivore,a29,a12,Female,0.48,44.85,18.88,2.48,1.81,0.77,0.68,0.58,1.14,0.3,
d4,Herbivore,c4,a95,Female,0.23,90.23,25.19,1.96,1.82,0.52,0.56,0.58,1.8,0.03,
b9,Herbivore,a98,b4,Female,0.43,36.72,24.07,1.14,2.25,0.65,0.48,0.62,0.96,0.03,
b3,Herbivore,a33,a67,Female,0.05,76.16,39.84,2.9,2.82,1.47,0.25,0.51,0.62,0.03,
b6,Herbivore,a62,a40,Female,0.48,48.97,30.39,2.6,1.53,1.85,0.69,0.65,1.38,0.03,
c8,Herbivore,b8,a3,Female,0.08,94.9,39.45,1.42,2.81,1.68,0.64,0.64,1.02,0.21,
d3,Herbivore,c3,a95,Female,0.17,89.54,31.47,2.5,2.82,2.53,0.36,0.31,0.6,0.03,
d1,Herbivore,c1,b5,Female,0.27,96.97,33.51,1.05,2.29,2.12,0.39,0.69,0.63,0.09,
b7,Herbivore,a78,a96,Female,0.38,14.27,35.09,2.59,1.96,2.29,0.58,0.66,1.18,0.23,
c8,Herbivore,b8,a67,Female,0.17,94.1,28.45,2.98,2.45,1.53,0.42,0.51,0.62,0.03,
c4,Herbivore,b4,c5,Female,0.5,55.56,44.68,2.31,2.93,1.06,0.39,0.69,0.63,0.09,
c4,Herbivore,b4,b6,Female,0.23,90.23,25.19,1.96,1.82,0.52,0.56,0.64,1.02,0.21,
b3,Herbivore,a37,a48,Female,0.29,73.54,25.98,2.61,1.55,2.2,0.25,0.35,1.32,0.22,
c2,Herbivore,b2,a70,Female,0.3,13.15,23.19,1.86,1.45,2.07,0.12,0.28,0.77,0.09,
c1,Herbivore,b1,a95,Female,0.27,96.97,33.51,1.05,2.29,0.52,0.56,0.58,1.8,0.03,
b1,Herbivore,a14,a95,Female,0.07,76.73,33.35,1.4,2.5,0.52,0.56,0.58,1.8,0.03,
b5,Herbivore,a55,b5,Male,0.97,80.52,38.62,2.19,1.58,2.12,0.39,0.69,0.63,0.09,
c3,Herbivore,b3,a92,Female,0.05,76.16,39.84,2.9,2.82,0.59,0.6,0.28,0.9899999,0.26,
b2,Herbivore,a22,a48,Female,0.09,63.8,22.32,1.44,1.1,2.2,0.25,0.35,1.32,0.22,
c5,Herbivore,b5,c5,Male,0.97,80.52,38.62,2.19,1.58,2.12,0.39,0.69,0.63,0.09,
c3,Herbivore,b3,a92,Female,0.17,89.54,31.47,2.5,1,0.59,0.6,0.28,0.9899999,0.26,
d2,Herbivore,c2,a67,Female,0.09,63.8,22.32,1.44,1.1,2.2,0.25,0.35,1.32,0.03,
d8,Herbivore,c8,a56,Female,0.17,94.1,33.22,1.49,1.05,1.39,0.4,0.17,0.94,0.11,
c8,Herbivore,b8,a38,Female,0.19,68.68,23.22,1.43,1.97,2.92,0.55,0.22,0.6,0.17,
c8,Herbivore,b8,a38,Female,0.19,68.68,23.22,1.43,1.97,2.92,0.55,0.22,0.6,0.17,
b1,Herbivore,a11,a92,Female,0.27,96.97,33.51,1.05,1,0.59,0.6,0.28,0.9899999,0.26,
d6,Herbivore,c6,a49,Male,0.75,63.8,22.32,1.44,1.1,2.2,0.25,0.67,1.65,0.09999999,
d6,Herbivore,c6,a17,Male,0.75,63.8,22.32,1.44,1.75,2.81,0.45,0.53,0.72,0.04,
d3,Herbivore,c3,a38,Female,0.47,84.7,25.74,1.43,1.97,2.92,0.55,0.22,0.6,0.17,
d6,Herbivore,c6,a46,Male,0.6,85.02,48.85,1.31,2,1.55,0.47,0.65,1.04,0.29,
d6,Herbivore,c6,a49,Male,0.58,53.4,41.71,2.96,2.29,2.79,0.43,0.67,1.65,0.09999999,
b8,Herbivore,a87,c8,Male,0.75,63.8,22.32,1.44,1.1,2.2,0.25,0.35,1.32,0.22,
